sign,pets,count
aquarius,likes both,1640
aquarius,likes cats,173
aquarius,likes dogs,946
aquarius,other,25
aries,likes both,1691
aries,likes cats,184
aries,likes dogs,960
aries,other,25
cancer,likes both,1787
cancer,likes cats,200
cancer,likes dogs,1014
cancer,other,21
capricorn,likes both,1499
capricorn,likes cats,165
capricorn,likes dogs,885
capricorn,other,33
gemini,likes both,1811
gemini,likes cats,228
gemini,likes dogs,1044
gemini,other,19
leo,likes both,1867
leo,likes cats,229
leo,likes dogs,1064
leo,other,29
libra,likes both,1728
libra,likes cats,209
libra,likes dogs,1012
libra,other,26
pisces,likes both,1635
pisces,likes cats,188
pisces,likes dogs,984
pisces,other,32
sagittarius,likes both,1685
sagittarius,likes cats,174
sagittarius,likes dogs,939
sagittarius,other,24
scorpio,likes both,1707
scorpio,likes cats,213
scorpio,likes dogs,1016
scorpio,other,23
taurus,likes both,1750
taurus,likes cats,203
taurus,likes dogs,1037
taurus,other,22
virgo,likes both,1765
virgo,likes cats,206
virgo,likes dogs,1027
virgo,other,26
